accuracy,activity_confidence,average_dip,average_rake,catalog_id,catalog_name,dip_dir,downthrown_side_dir,downthrown_side_id,epistemic_quality,exposure_quality,fs_name,last_movement,lower_seis_depth,name,net_slip_rate,notes,reference,shortening_rate,slip_type,strike_slip_rate,upper_seis_depth,vert_sep_rate
,,,,ATA_66,Active Tectonics of the Andes,,,,,,,,,MORRONEGRO_FAULT,,,"Paris et al., 2000",,Sinistral,,,
,,,,ATA_67,Active Tectonics of the Andes,,,,,,,,,VIGIA FAULT,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_68,Active Tectonics of the Andes,,,,,,,,,GUANARE FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Reverse,,,
,,,,ATA_69,Active Tectonics of the Andes,,,,,,,,,MERIDA ANDES THRUST FRONT,,,"Audemard et al., 2000; Audemard et al., 2006",,Reverse,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_70,Active Tectonics of the Andes,,,,,,,,,BOCONO-SAN_SEBASTIAN-EL_PILAR_FAULT,"(10,,)",,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_71,Active Tectonics of the Andes,,,,,,,,,PERIJA EL TIGRE FAULT SYSTEM,,,"Kellogg, 1984; Audemard et al., 2006",,Reverse,,,
,,,,ATA_72,Active Tectonics of the Andes,,,,,,,,,PERIJA EL TIGRE FAULT SYSTEM,,,"Kellogg, 1984",,Reverse,,,
,,,,ATA_73,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_74,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_75,Active Tectonics of the Andes,,,,,,,,,BOCONO_FAULT,,,,,Dextral,,,
,,,,ATA_76,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_77,Active Tectonics of the Andes,,,,,,,,,SAN JACINTO FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_78,Active Tectonics of the Andes,,,,,,,,,CHUSMA_FAULT,,,"Paris et al., 2000; Butler & Schamel, 1988",,Reverse,,,
,,,,ATA_79,Active Tectonics of the Andes,,,,,,,,,CHUSMA FAULT,,,,,Dextral,,,
,,,,ATA_80,Active Tectonics of the Andes,,,,,,,,,CHUSMA_FAULT,,,"Paris et al., 2000; Butler & Schamel, 1988",,Reverse,,,
,,,,ATA_81,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_82,Active Tectonics of the Andes,,,,,,,,,GUAYAQUIL ALGECIRAS FAULT SYSTEM,,,"Mora et al., 2010",,Dextral,,,
,,,,ATA_83,Active Tectonics of the Andes,,,,,,,,,LA VICTORIA PISAYAMBO FAULT SYSTEM,"(1.4,,)",,"Lavenu et al., 1995; Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_84,Active Tectonics of the Andes,,,,,,,,,EL_TAMBOR_FAULT,,,,,Reverse,,,
,,,,ATA_85,Active Tectonics of the Andes,,,,,,,,,TORO FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_86,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_87,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_88,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_89,Active Tectonics of the Andes,,,,,,,,,MOCOA_FAULT,,,,,Reverse,,,
,,,,ATA_90,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_91,Active Tectonics of the Andes,,,,,,,,,AFILADORES_FAULT,,,,,Reverse,,,
,,,,ATA_92,Active Tectonics of the Andes,,,,,,,,,AFILADORES_FAULT,,,,,Reverse,,,
,,,,ATA_93,Active Tectonics of the Andes,,,,,,,,,IBAGUE_FAULT,"(0.5,,)",,"Montes et al., 2005",,Dextral,,,
,,,,ATA_94,Active Tectonics of the Andes,,,,,,,,,ROMERAL FAULT,,,,,Reverse,,,
,,,,ATA_95,Active Tectonics of the Andes,,,,,,,,,MULATO-GETUDO_FAULT,,,"Paris et al., 2000 (Right-lateral)",,Dextral,,,
,,,,ATA_96,Active Tectonics of the Andes,,,,,,,,,MULATO-GETUDO_FAULT,,,"Paris et al., 2000 (Left lateral)",,Dextral,,,
,,,,ATA_97,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_98,Active Tectonics of the Andes,,,,,,,,,PALESTINA_FAULT,,,"Paris et al., 2000",,Sinistral,,,
,,,,ATA_99,Active Tectonics of the Andes,,,,,,,,,ROMERAL_FAULT,,,"Paris et al., 2000 (Left-lateral)",,Reverse,,,
,,,,ATA_100,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_101,Active Tectonics of the Andes,,,,,,,,,ROMERAL_FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_102,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_103,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_104,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_105,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_106,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_107,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_108,Active Tectonics of the Andes,,,,,,,,,URRAO FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_109,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_110,Active Tectonics of the Andes,,,,,,,,,GUAYAQUIL ALGECIRAS FAULT SYSTEM,"(9.5,7,12)",,"Velandia et al, 2005; Ego, 1996; Tibaldi, 2007",,Dextral,,,
,,,,ATA_111,Active Tectonics of the Andes,,,,,,,,,GUAYAQUIL ALGECIRAS FAULT SYSTEM- QUITO SEGMENT,,,"Villagomez, 2003",,Dextral,,,
,,,,ATA_112,Active Tectonics of the Andes,,,,,,,,,CASCALES_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_113,Active Tectonics of the Andes,,,,,,,,,PAYAMINO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_114,Active Tectonics of the Andes,,,,,,,,,TAISHA_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_115,Active Tectonics of the Andes,,,,,,,,,SANTIAGO-UPANO_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_116,Active Tectonics of the Andes,,,,,,,,,GARRAPATAS_FAULT,,,"Paris et al., 2000",,Dextral,,,
,,,,ATA_117,Active Tectonics of the Andes,,,,,,,,,EL_TAMBOR_FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_118,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_119,Active Tectonics of the Andes,,,,,,,,,ESMERALDAS FAULT SYSTEM,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_120,Active Tectonics of the Andes,,,,,,,,,ESMERALDAS FAULT SYSTEM,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_121,Active Tectonics of the Andes,,,,,,,,,RIO_CANANDE_FAULT,,,"Eguez et al., 2003_USGS",,Dextral,,,
,,,,ATA_122,Active Tectonics of the Andes,,,,,,,,,BUGA_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_123,Active Tectonics of the Andes,,,,,,,,,CANAVERAL_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_124,Active Tectonics of the Andes,,,,,,,,,CANAVERAL_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_125,Active Tectonics of the Andes,,,,,,,,,MACHE_FAULT,,,,,Reverse,,,
,,,,ATA_126,Active Tectonics of the Andes,,,,,,,,,MACHE_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_127,Active Tectonics of the Andes,,,,,,,,,CANAVERAL_FAULT,,,"Eguez et al., 2003_USGS",,Dextral,,,
,,,,ATA_128,Active Tectonics of the Andes,,,,,,,,,QUININDE_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_129,Active Tectonics of the Andes,,,,,,,,,QUININDE_FAULT,,,"Eguez et al., 2003_USGS",,Reverse,,,
,,,,ATA_130,Active Tectonics of the Andes,,,,,,,,,TANDAPI_FAULT,,,"Eguez et al., 2003",,Sinistral,,,
,,,,ATA_131,Active Tectonics of the Andes,,,,,,,,,EL_CINTO_FAULT,,,"Eguez et al., 2003",,Sinistral,,,
,,,,ATA_132,Active Tectonics of the Andes,,,,,,,,,EL_CINTO_FAULT,,,"Eguez et al., 2003",,Sinistral,,,
,,,,ATA_133,Active Tectonics of the Andes,,,,,,,,,PAPALLACTA_FAULT,,,"Eguez et al., 2003",,Dextral,,,
,,,,ATA_134,Active Tectonics of the Andes,,,,,,,,,CHUNGCHILAN-SIGCHOS_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_135,Active Tectonics of the Andes,,,,,,,,,PACAYACU_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_136,Active Tectonics of the Andes,,,,,,,,,,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_137,Active Tectonics of the Andes,,,,,,,,,VALENCIA-LA_MANA_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_138,Active Tectonics of the Andes,,,,,,,,,APUELA_FAULT,,,,,Dextral,,,
,,,,ATA_139,Active Tectonics of the Andes,,,,,,,,,BILLECOCHA-HUYRAPUNGO_FAULT,,,,,Dextral,,,
,,,,ATA_140,Active Tectonics of the Andes,,,,,,,,,NANEGALITO_FAULT,,,,,Dextral,,,
,,,,ATA_141,Active Tectonics of the Andes,,,,,,,,,OTAVALO_FAULT,,,,,Dextral,,,
,,,,ATA_142,Active Tectonics of the Andes,,,,,,,,,EL_ANGEL_FAULT,,,,,Dextral,,,
,,,,ATA_143,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_144,Active Tectonics of the Andes,,,,,,,,,TENA-PASUNO FAULT SYSTEM,,,,,Reverse,,,
,,,,ATA_145,Active Tectonics of the Andes,,,,,,,,,BAEZA-CHACO_FAULT,,,,,Reverse,,,
,,,,ATA_146,Active Tectonics of the Andes,,,,,,,,,SUMACO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_147,Active Tectonics of the Andes,,,,,,,,,HOLLIN_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_148,Active Tectonics of the Andes,,,,,,,,,TENA_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_149,Active Tectonics of the Andes,,,,,,,,,PUSUNO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_150,Active Tectonics of the Andes,,,,,,,,,ANZU_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_151,Active Tectonics of the Andes,,,,,,,,,HUACAMAYOS_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_152,Active Tectonics of the Andes,,,,,,,,,PISAYAMBO_FAULT,,,"Eguez et al., 2003",,Dextral,,,
,,,,ATA_153,Active Tectonics of the Andes,,,,,,,,,CANAVERAL_FAULT,,,"Eguez et al., 2003_USGS",,Dextral,,,
,,,,ATA_154,Active Tectonics of the Andes,,,,,,,,,RIO_BABA_FAULT,,,"Eguez et al., 2003",,Dextral,,,
,,,,ATA_155,Active Tectonics of the Andes,,,,,,,,,CHUNGCHILAN-SIGCHOS_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_156,Active Tectonics of the Andes,,,,,,,,,QUINSALOMA_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_157,Active Tectonics of the Andes,,,,,,,,,MONTALCO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_158,Active Tectonics of the Andes,,,,,,,,,CHILLANES_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_159,Active Tectonics of the Andes,,,,,,,,,,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_160,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_161,Active Tectonics of the Andes,,,,,,,,,PASTAZA_FAULT,,,"Eguez et al., 2003",,Sinistral,,,
,,,,ATA_162,Active Tectonics of the Andes,,,,,,,,,MERA_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_163,Active Tectonics of the Andes,,,,,,,,,PUYO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_164,Active Tectonics of the Andes,,,,,,,,,ARAJUNO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_165,Active Tectonics of the Andes,,,,,,,,,GUAMOTE FAULT,,,"Eguez et al., 2003",,Dextral,,,
,,,,ATA_166,Active Tectonics of the Andes,,,,,,,,,PONCE-ENRIQUEZ_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_167,Active Tectonics of the Andes,,,,,,,,,GUALACEO_FAULT,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_168,Active Tectonics of the Andes,,,,,,,,,GIRON_FAULT,,,"Eguez et al., 2003",,Dextral,,,
,,,,ATA_169,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_170,Active Tectonics of the Andes,,,,,,,,,LOMAS_FAULT,"(0.11,,)",,"Saillard et al., 2011_Geomorphology; Hsu, 1992",,Normal,,,
,,,,ATA_171,Active Tectonics of the Andes,,,,,,,,,LOMAS_FAULT,"(0.11,,)",,"Saillard et al., 2011_Geomorphology; Hsu, 1992",,Normal,,,
,,,,ATA_172,Active Tectonics of the Andes,,,,,,,,,EL HUEVO FAULT,,,"Saillard et al., 2011_Geomorphology",,Normal,,,
,,,,ATA_173,Active Tectonics of the Andes,,,,,,,,,EL HUEVO FAULT,,,"Saillard et al., 2011_Geomorphology",,Normal,,,
,,,,ATA_174,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_175,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_176,Active Tectonics of the Andes,,,,,,,,,CASCALES FAULT SYSTEM,,,"Eguez et al., 2003",,Reverse,,,
,,,,ATA_177,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_178,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_179,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_180,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_181,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_182,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_183,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_184,Active Tectonics of the Andes,,,,,,,,,IBAGUE_FAULT,"(0.5,,)",,"Montes et al., 2005",,Dextral,,,
,,,,ATA_185,Active Tectonics of the Andes,,,,,,,,,HONDA FAULT,,,"Paris et al., 2000",,Reverse,,,
,,,,ATA_186,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_187,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_188,Active Tectonics of the Andes,,,,,,,,,CIMITARRA FAULT,,,,,Reverse,,,
,,,,ATA_189,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_190,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_191,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_192,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_193,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_194,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_195,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_196,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_197,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_198,Active Tectonics of the Andes,,,,,,,,,VALERA FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Sinistral,,,
,,,,ATA_198,Active Tectonics of the Andes,,,,,,,,,VALERA FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Sinistral,,,
,,,,ATA_199,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_200,Active Tectonics of the Andes,,,,,,,,,LA VICTORIA FAULT SYSTEM,,,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_201,Active Tectonics of the Andes,,,,,,,,,LA VISTORIA FAULT SYSTEM,,,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_202,Active Tectonics of the Andes,,,,,,,,,PICHAO_FAULT,,,"Audemard et al., 2000",,Dextral,,,
,,,,ATA_203,Active Tectonics of the Andes,,,,,,,,,EL_AVILA_FAULT,,,,,Sinistral,,,
,,,,ATA_204,Active Tectonics of the Andes,,,,,,,,,PUERTO CABELLO FAULT,,,"Audemard et al., 2000 (Right lateral)",,Sinistral,,,
,,,,ATA_205,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000; Audemard et al., 2006",,Reverse,,,
,,,,ATA_206,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_207,Active Tectonics of the Andes,,,,,,,,,"Audemard et al., 2000",,,,,Reverse,,,
,,,,ATA_208,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_209,Active Tectonics of the Andes,,,,,,,,,RIO GUARICO FAULT,,,"Audemard et al., 2000",,Dextral,,,
,,,,ATA_210,Active Tectonics of the Andes,,,,,,,,,MERIDA ANDES THRUS FRONT SYSTEM,,,,,Reverse,,,
,,,,ATA_210,Active Tectonics of the Andes,,,,,,,,,MERIDA ANDES THRUS FRONT SYSTEM,,,,,Reverse,,,
,,,,ATA_210,Active Tectonics of the Andes,,,,,,,,,MERIDA ANDES THRUS FRONT SYSTEM,,,,,Reverse,,,
,,,,ATA_211,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_212,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_213,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_214,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al, 2000",,Reverse,,,
,,,,ATA_215,Active Tectonics of the Andes,,,,,,,,,SOUTH MERIDA THRUST FRONT,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_216,Active Tectonics of the Andes,,,,,,,,,CUMANA FAULT SYSTEM,,,"Audemard et al., 2000",,Dextral,,,
,,,,ATA_217,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_218,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_219,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_220,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_221,Active Tectonics of the Andes,,,,,,,,,CUMANA FAULT SYSTEM,,,"Audemard et al., 2000",,Dextral,,,
,,,,ATA_222,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_223,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_223,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_224,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_225,Active Tectonics of the Andes,,,,,,,,,CAMPEARITO FAULT SYSTEM,,,,,Normal,,,
,,,,ATA_226,Active Tectonics of the Andes,,,,,,,,,CAMPEARITO FAULT SYSTEM,,,"Audemard et al., 2000",,Normal,,,
,,,,ATA_227,Active Tectonics of the Andes,,,,,,,,,CAMPEARITO FAULT SYSTEM,,,"Audemard et al., 2000",,Normal,,,
,,,,ATA_228,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_229,Active Tectonics of the Andes,,,,,,,,,TACATA FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_230,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000; Audemard et al., 2006",,Dextral,,,
,,,,ATA_231,Active Tectonics of the Andes,,,,,,,,,BURBUSAY FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Sinistral,,,
,,,,ATA_232,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_233,Active Tectonics of the Andes,,,,,,,,,VENADO FAULT,,,"Audemard et al., 2000",,Reverse,,,
,,,,ATA_234,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_235,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_236,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_237,Active Tectonics of the Andes,,,,,,,,,PASCO FAULT,,,,,Reverse,,,
,,,,ATA_238,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_239,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_240,Active Tectonics of the Andes,,,,,,,,,PUCALLPA FAULT,,,,,Reverse,,,
,,,,ATA_241,Active Tectonics of the Andes,,,,,,,,,OCOLPA FAULT SYSTEM,,,"Macahar� et al., 2003",,Sinistral,,,
,,,,ATA_242,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_243,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,,,Reverse,,,
,,,,ATA_244,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,,,Reverse,,,
,,,,ATA_245,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,,,Reverse,,,
,,,,ATA_246,Active Tectonics of the Andes,,,,,,,,,EASTERN PERU THRUST FRONT,,,,,Reverse,,,
,,,,ATA_247,Active Tectonics of the Andes,,,,,,,,,OCOLPA FAULT SYSTEM,,,,,Sinistral,,,
,,,,ATA_248,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_249,Active Tectonics of the Andes,,,,,,,,,MANU THRUST,,,,,Reverse,,,
,,,,ATA_250,Active Tectonics of the Andes,,,,,,,,,CAMPANQUIZ FAULT SYSTEM,,,,,Reverse,,,
,,,,ATA_251,Active Tectonics of the Andes,,,,,,,,,CAMPANQUIZ FAULT SYSTEM,,,,,Reverse,,,
,,,,ATA_252,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_253,Active Tectonics of the Andes,,,,,,,,,MANU THRUST,,,,,Reverse,,,
,,,,ATA_254,Active Tectonics of the Andes,,,,,,,,,CELICA-MACARA-AMOTAPE FAULT SYSTEM,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_255,Active Tectonics of the Andes,,,,,,,,,CELICA-MACARA-AMOTAPE FAULT SYSTEM,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_256,Active Tectonics of the Andes,,,,,,,,,CELICA-MACARA-AMOTAPE FAULT SYSTEM,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_257,Active Tectonics of the Andes,,,,,,,,,,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_258,Active Tectonics of the Andes,,,,,,,,,CELICA-MACARA-AMOTAPE FAULT SYSTEM,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_259,Active Tectonics of the Andes,,,,,,,,,HUAYTALPALLANA FAULT,,,"Macahar� et al., 2003_USGS",,Sinistral,,,
,,,,ATA_260,Active Tectonics of the Andes,,,,,,,,,,,,,,Sinistral,,,
,,,,ATA_261,Active Tectonics of the Andes,,,,,,,,,CAYESH FAULT SYSTEM,,,,,Normal,,,
,,,,ATA_262,Active Tectonics of the Andes,,,,,,,,,CAYESH FAULT SYSTEM,,,"Macahar� et al., 2003_USGS",,Normal,,,
,,,,ATA_263,Active Tectonics of the Andes,,,,,,,,,CAYESH FAULT SYSTEM,,,"Macahar� et al., 2003_USGS",,Normal,,,
,,,,ATA_264,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
,,,,ATA_265,Active Tectonics of the Andes,,,,,,,,,CAYESH FAULT SYSTEM,,,,,Normal,,,
,,,,ATA_266,Active Tectonics of the Andes,,,,,,,,,SHITARI FAULT,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_267,Active Tectonics of the Andes,,,,,,,,,SHITARI FAULT,,,"Macahar� et al., 2003",,Reverse,,,
,,,,ATA_268,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_269,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_270,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_271,Active Tectonics of the Andes,,,,,,,,,BOCONO-ANCON-EL PILAR FAULT SYSTEM,,,"Audemard et al., 2000; Costa et al., 2006",,Dextral,,,
,,,,ATA_272,Active Tectonics of the Andes,,,,,,,,,,,,,,Dextral,,,
,,,,ATA_273,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_274,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_275,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_276,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_277,Active Tectonics of the Andes,,,,,,,,,,,,,,Reverse,,,
,,,,ATA_278,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al., 2000; Audemard et al., 2006",,Reverse,,,
,,,,ATA_279,Active Tectonics of the Andes,,,,,,,,,CORO FAULT,,,"Audemard et al., 2000; Audemard et al., 2006",,Reverse,,,
,,,,ATA_280,Active Tectonics of the Andes,,,,,,,,,,,,"Audemard et al, 2000",,Reverse,,,
,,,,ATA_281,Active Tectonics of the Andes,,,,,,,,,,,,,,Normal,,,
